scenario,algorithm,runs,successes,successRate,successCIlo,successCIhi,meanLength,stdLength,medianLength,lenCIlo,lenCIhi,meanTime,stdTime,timeCIlo,timeCIhi,meanFirstSol,firstCIlo,firstCIhi,meanMinClear,meanTurnSum,meanNodes,meanPre,meanOpt,meanEscapes,meanFlips,fallbackRate,deltaLength,pLength,deltaTime,pTime,deltaFirst,pFirst
狭窄,RRT*,50,50,100,100,100,264.504756648914,6.12834826245159,262.992195149623,262.858469121906,266.256215231079,1.179469968,0.499494662682288,1.0900573329,1.33350097955,0.043131462,0.031467192,0.06285525365,0.890944179511886,7.78655971995379,4555.1,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,0.988,0.000249937515621095,0.98,0.000249937515621095
狭窄,Informed-RRT*,50,50,100,100,100,264.151282100066,8.91306231116263,262.151371571972,261.868937023452,266.68275183333,0.875635658,0.178482060104106,0.82731492285,0.9246768704,0.035364156,0.03097020625,0.0400091595,0.895337420756241,7.84545283713186,3541.7,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,0.3096,0.0269932516870782,0.9784,0.000249937515621095
狭窄,PRM*,50,50,100,100,100,258.512812459126,2.42563681377906,258.455678650503,257.8297654637,259.175900887293,3.690869356,0.240156617830367,3.6247415761,3.7578055224,0.005018864,0.0032509252,0.00710481985,1.88839438360583,4.22553950272469,6002,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,1,0.000249937515621095,-0.6968,0.000249937515621095
狭窄,FMT*,50,50,100,100,100,281.247149402297,16.2900220092107,278.103004368396,276.935992944272,285.883193103405,4.147592866,3.19509231116996,3.32312170345,5.1063648524,0.055747932,0.04257484595,0.07206841355,2.11144847518885,6.26165017884284,6002,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,0.968,0.000249937515621095,0.96,0.000249937515621095
狭窄,BIT*,50,34,68,54,80,267.763499208698,16.0168904631258,264.424719085145,263.250403221992,273.693368755475,10.5159648176471,4.02442111832167,9.19530927051471,11.8414672859559,0.111722620588235,0.0818718305882353,0.150607214926471,2.07666642716732,5.09577338225891,3189.36,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,0.941176470588235,0.000249937515621095,1,0.000249937515621095
狭窄,RRT#,50,50,100,100,100,260.548217645269,4.49582974759125,260.561534289411,259.352764683464,261.860953375203,1.0770284,0.0908033339498465,1.05241909845,1.101928265,0.040208034,0.03548572345,0.04512256125,0.748592244891278,7.13126516118965,4555.1,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,0.9624,0.000249937515621095,0.9864,0.000249937515621095
狭窄,APF-only,50,50,100,100,100,323.571846627543,0,323.571846627543,323.571846627543,323.571846627543,0.008846744,0.00783477930570127,0.00734780435,0.0113305739,0.008369688,0.00709566575,0.01050885075,0.193026768384975,32.9121314779335,NaN,NaN,NaN,0,5,0,1,0.000249937515621095,-1,0.000249937515621095,-0.2936,0.284678830292427
狭窄,AB-IRRT*,50,50,100,100,100,247.962772577464,0.262316719738956,248.081522405792,247.886816840477,248.028196430175,0.817403694,0.0791952738802971,0.79623259325,0.83968713125,0.009080438,0.0081616641,0.01022590195,0.169340107684553,0.976044152993245,3505.26,0.009080438,0.807519486,0,5,0,0,1,0,1,0,1
