scenario,algorithm,runs,successes,successRate,successCIlo,successCIhi,meanLength,stdLength,medianLength,lenCIlo,lenCIhi,meanTime,stdTime,timeCIlo,timeCIhi,meanFirstSol,firstCIlo,firstCIhi,meanMinClear,meanTurnSum,meanNodes,meanPre,meanOpt,meanEscapes,meanFlips,fallbackRate,deltaLength,pLength,deltaTime,pTime,deltaFirst,pFirst
一般,RRT*,50,50,100,100,100,212.123613392789,2.18939265073103,211.407959929357,211.539753067711,212.741916322315,0.118670486,0.0235818774660734,0.11238343745,0.12547988255,0.00987521,0.00835223905,0.01195205345,0.325862466587944,3.82720624952417,1517.06,NaN,NaN,NaN,NaN,0,0.8984,0.000249937515621095,0.7664,0.000249937515621095,0.9568,0.000249937515621095
一般,Informed-RRT*,50,50,100,100,100,210.239115839128,0.973904323502722,210.003488539793,209.984712812897,210.514900817841,0.1122036,0.0168678630416614,0.1076545994,0.11698726805,0.008589758,0.00759178605,0.0096729681,0.305490675740974,2.76810696211258,1336.98,NaN,NaN,NaN,NaN,0,0.4208,0.000249937515621095,0.7552,0.000249937515621095,0.952,0.000249937515621095
一般,PRM*,50,50,100,100,100,211.178373133122,1.04817218966742,211.180064991629,210.898890981693,211.467397891428,0.35314787,0.0485348929564996,0.3401488242,0.36685850775,0.003462704,0.00243643365,0.0046180869,0.399152454590236,3.25577272375927,2002,NaN,NaN,NaN,NaN,0,0.8376,0.000249937515621095,1,0.000249937515621095,0,0.0294926268432892
一般,FMT*,50,50,100,100,100,217.029777354868,5.53383888691124,215.758569190747,215.738124799394,218.733684636422,0.116457322,0.0549663838691275,0.10225354895,0.13269233985,0.017789728,0.01470546215,0.0210879301,0.20533957014696,2.88155742439342,2002,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,0.3248,0.000499875031242189,0.976,0.000249937515621095
一般,BIT*,50,48,96,90,100,210.628107263939,1.64469931800277,210.065903787663,210.202350414623,211.100347915621,1.82766517916667,0.393127169477084,1.71954557265625,1.93709476880208,0.0453703041666667,0.03843986109375,0.0537432140104167,0.204190594540923,1.70824272107228,1204.78,NaN,NaN,NaN,NaN,0,0.440104166666667,0.000499875031242189,1,0.000249937515621095,1,0.000249937515621095
一般,RRT#,50,50,100,100,100,210.571822377521,1.5590835985773,210.07743314325,210.168118339853,211.00862640088,0.116961968,0.0196436671140583,0.1116138788,0.12244810255,0.010123128,0.0090968819,0.0112231603,0.30035841491403,2.74717115057868,1517.06,NaN,NaN,NaN,NaN,0,0.42,0.000249937515621095,0.7528,0.000249937515621095,0.9584,0.000249937515621095
一般,APF-only,50,50,100,100,100,229.358752665851,0,229.358752665851,229.358752665851,229.358752665851,0.002622032,0.00461194788965729,0.00177976955,0.0040572203,0.002316386,0.00165244965,0.00347033055,0.40276509044968,16.5135672987644,NaN,NaN,NaN,1,5,0,1,0.000249937515621095,-1,0.000249937515621095,-0.2376,0.992751812046988
一般,AB-IRRT*,50,50,100,100,100,209.610813045835,0.382955497533831,209.56281876286,209.50614867128,209.718398697037,0.09042529,0.0157151959207465,0.0864371665,0.09515756465,0.002318502,0.00186340305,0.00303947885,0.220543766445213,2.97560430001407,1346.52,0.002318502,0.087280922,1,5,0,0,1,0,1,0,1
狭窄,RRT*,50,50,100,100,100,227.374320548037,13.4187961164173,222.517340683419,223.839268365886,231.274959412524,0.078908888,0.0280463725303301,0.07126677745,0.08662750585,0.011233296,0.0101402465,0.01251416255,0.141438981158333,5.65693167538526,1199,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,0.6464,0.000249937515621095,0.1864,0.0144963759060235
狭窄,Informed-RRT*,50,50,100,100,100,228.347200609358,15.0004488430434,223.243758908634,224.427066158458,232.565845522446,0.067729576,0.0258411369650792,0.0606176933,0.07491502655,0.011426104,0.01037636365,0.0125460558,0.185549994504058,5.72864690763035,998.68,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,0.452,0.000249937515621095,0.2216,0.00249937515621095
