variant,scenario,run,seed,success,length,time,firstSolutionTime,tPre,tOpt,nodes,turnSum,minClear,escapes,sideFlips,fallback
APF-only,一般,1,20261904,1,229.358752665851,0.0021292,0.0017451,0.0021292,0,NaN,16.5135672987644,0.40276509044968,1,5,0
Informed-RRT*,一般,1,20261904,1,209.438897898426,0.1307663,0.0106144,0,0.1307663,1364,1.94974773402325,0.753712160304161,1,5,0
w/o ellipse seeding,一般,1,20261904,1,209.4343729733,0.1320488,0.0087147,0.0018551,0.1301937,1359,2.23347080399968,0.544001929371507,1,5,0
w/o path-bias sampling,一般,1,20261904,1,209.55152140927,0.1180347,0.0019652,0.0019652,0.1160695,1299,1.9945050619236,0.362253334558613,1,5,0
w/o dynamic rewiring,一般,1,20261904,1,209.202080300557,0.1219331,0.0020127,0.0020127,0.1199204,1363,1.58840781532158,0.197470980718783,1,5,0
w/o seed shortcutting,一般,1,20261904,1,210.231693464367,0.094805,0.0015992,0.0015992,0.0932058,1363,3.37475597648199,0.154044754873201,1,5,0
AB-IRRT* (full),一般,1,20261904,1,210.231693464367,0.0897705,0.0019147,0.0019147,0.0878558,1363,3.37475597648199,0.154044754873201,1,5,0
APF-only,一般,2,20261905,1,229.358752665851,0.0016759,0.0014719,0.0016759,0,NaN,16.5135672987644,0.40276509044968,1,5,0
Informed-RRT*,一般,2,20261905,1,210.088614131583,0.1120918,0.0057642,0,0.1120918,1357,2.31387421179401,0.820113820530436,1,5,0
w/o ellipse seeding,一般,2,20261905,1,208.82323513785,0.1124882,0.0067061,0.0019411,0.1105471,1342,1.56746575000551,0.0179439622336091,1,5,0
w/o path-bias sampling,一般,2,20261905,1,209.160804748603,0.1166244,0.0016029,0.0016029,0.1150215,1328,2.13711984186278,0.0986658286420887,1,5,0
w/o dynamic rewiring,一般,2,20261905,1,208.671789624217,0.1091338,0.0015614,0.0015614,0.1075724,1324,1.00768519996317,0.0305456162470392,1,5,0
w/o seed shortcutting,一般,2,20261905,1,208.835016590696,0.0775546,0.0018763,0.0018763,0.0756783,1332,1.86083634908058,0.00940078806596034,1,5,0
AB-IRRT* (full),一般,2,20261905,1,208.835016590696,0.0755587,0.001349,0.001349,0.0742097,1332,1.86083634908058,0.00940078806596034,1,5,0
APF-only,一般,3,20261906,1,229.358752665851,0.0018153,0.0016199,0.0018153,0,NaN,16.5135672987644,0.40276509044968,1,5,0
Informed-RRT*,一般,3,20261906,1,210.929027011041,0.1024296,0.0069046,0,0.1024296,1359,2.79534907331811,0.229317820048971,1,5,0
w/o ellipse seeding,一般,3,20261906,1,209.986418623189,0.1098152,0.004584,0.0014314,0.1083838,1370,1.8659607097162,0.0617306695164361,1,5,0
w/o path-bias sampling,一般,3,20261906,1,210.754814630383,0.0927571,0.0018192,0.0018192,0.0909379,1344,2.88058383098008,0.126104269217347,1,5,0
w/o dynamic rewiring,一般,3,20261906,1,209.634935872128,0.1087525,0.0023405,0.0023405,0.106412,1365,1.63519431415182,0.167009036706929,1,5,0
w/o seed shortcutting,一般,3,20261906,1,209.326739449219,0.0813879,0.0013028,0.0013028,0.0800851,1366,3.169527715195,0.122460987583599,1,5,0
AB-IRRT* (full),一般,3,20261906,1,209.326739449219,0.0704493,0.0013074,0.0013074,0.0691419,1366,3.169527715195,0.122460987583599,1,5,0
APF-only,一般,4,20261907,1,229.358752665851,0.0013329,0.0011738,0.0013329,0,NaN,16.5135672987644,0.40276509044968,1,5,0
Informed-RRT*,一般,4,20261907,1,210.389811723207,0.0956294,0.003423,0,0.0956294,1309,2.91735202281341,0.521772164089613,1,5,0
w/o ellipse seeding,一般,4,20261907,1,209.127602591389,0.0925017,0.003812,0.0013383,0.0911634,1294,1.86865575986346,0.00485641805920523,1,5,0
w/o path-bias sampling,一般,4,20261907,1,209.90592406835,0.0918272,0.0018756,0.0018756,0.0899516,1205,2.33708152683967,0.167932546337049,1,5,0
w/o dynamic rewiring,一般,4,20261907,1,208.861063542097,0.08801,0.0013057,0.0013057,0.0867043,1283,1.36530435262265,0.0454602772643113,1,5,0
w/o seed shortcutting,一般,4,20261907,1,209.327786550659,0.0714112,0.0013325,0.0013325,0.0700787,1286,2.59722370425178,0.0551110736781445,1,5,0
AB-IRRT* (full),一般,4,20261907,1,209.327786550659,0.0718357,0.0014992,0.0014992,0.0703365,1286,2.59722370425178,0.0551110736781445,1,5,0
APF-only,一般,5,20261908,1,229.358752665851,0.0016275,0.0013659,0.0016275,0,NaN,16.5135672987644,0.40276509044968,1,5,0
Informed-RRT*,一般,5,20261908,1,210.492508663174,0.1111534,0.0041907,0,0.1111534,1305,2.74486244854016,0.911017636185283,1,5,0
w/o ellipse seeding,一般,5,20261908,1,209.583850312693,0.0931747,0.0057137,0.0012576,0.0919171,1333,2.29144470284303,0.160043037016493,1,5,0
w/o path-bias sampling,一般,5,20261908,1,210.101201329135,0.0919544,0.0013233,0.0013233,0.0906311,1262,3.610745139589,0.170090803024618,1,5,0
w/o dynamic rewiring,一般,5,20261908,1,208.948291921145,0.0942735,0.0015536,0.0015536,0.0927199,1294,1.44582256691663,0.0844231314130628,1,5,0
w/o seed shortcutting,一般,5,20261908,1,209.910799184985,0.0880592,0.001644,0.001644,0.0864152,1304,3.04246490104294,0.194620500261856,1,5,0
AB-IRRT* (full),一般,5,20261908,1,209.910799184985,0.0671908,0.0017996,0.0017996,0.0653912,1304,3.04246490104294,0.194620500261856,1,5,0
APF-only,一般,6,20261909,1,229.358752665851,0.0011935,0.0011346,0.0011935,0,NaN,16.5135672987644,0.40276509044968,1,5,0
Informed-RRT*,一般,6,20261909,1,209.811722537896,0.0954461,0.0083851,0,0.0954461,1348,2.81626935380591,0.230011804795172,1,5,0
w/o ellipse seeding,一般,6,20261909,1,208.98251845249,0.1016403,0.0050315,0.0016809,0.0999594,1350,1.52866921941159,0.238467720186586,1,5,0
w/o path-bias sampling,一般,6,20261909,1,209.51088975179,0.0988795,0.0016332,0.0016332,0.0972463,1311,2.58170423061459,0.131707692140678,1,5,0
w/o dynamic rewiring,一般,6,20261909,1,208.80536914493,0.101949,0.0016232,0.0016232,0.1003258,1347,1.57239027842935,0.0913198534300665,1,5,0
w/o seed shortcutting,一般,6,20261909,1,209.574045598957,0.0810226,0.0024557,0.0024557,0.0785669,1349,3.43863063023653,0.197796512564427,1,5,0
AB-IRRT* (full),一般,6,20261909,1,209.574045598957,0.0786774,0.001607,0.001607,0.0770704,1349,3.43863063023653,0.197796512564427,1,5,0
APF-only,一般,7,20261910,1,229.358752665851,0.0014329,0.0013497,0.0014329,0,NaN,16.5135672987644,0.40276509044968,1,5,0
Informed-RRT*,一般,7,20261910,1,211.268330154456,0.0915246,0.004265,0,0.0915246,1357,3.06687870484923,0.0653366019406292,1,5,0
w/o ellipse seeding,一般,7,20261910,1,210.030765006563,0.0834598,0.0040848,0.001507,0.0819528,1361,3.33362704853188,0.352566868845712,1,5,0
w/o path-bias sampling,一般,7,20261910,1,210.113679873622,0.0926676,0.0012177,0.0012177,0.0914499,1319,1.84833736028998,0.38119430709618,1,5,0
w/o dynamic rewiring,一般,7,20261910,1,209.838573130926,0.0926815,0.0012113,0.0012113,0.0914702,1348,2.54816417886671,0.324763709772276,1,5,0
w/o seed shortcutting,一般,7,20261910,1,209.602259730911,0.06394,0.0014388,0.0014388,0.0625012,1349,1.47462324047775,0.458289934233003,1,5,0
AB-IRRT* (full),一般,7,20261910,1,209.602259730911,0.06479,0.0012335,0.0012335,0.0635565,1349,1.47462324047775,0.458289934233003,1,5,0
APF-only,一般,8,20261911,1,229.358752665851,0.0014988,0.0014043,0.0014988,0,NaN,16.5135672987644,0.40276509044968,1,5,0
Informed-RRT*,一般,8,20261911,1,209.485820298919,0.0975812,0.0084054,0,0.0975812,1387,2.30529867219434,0.161182357390831,1,5,0
w/o ellipse seeding,一般,8,20261911,1,209.053766587672,0.0863484,0.0037297,0.0013676,0.0849808,1375,1.45799797523295,0.595544709809459,1,5,0
w/o path-bias sampling,一般,8,20261911,1,209.012815631166,0.0892083,0.001154,0.001154,0.0880543,1362,1.60817601737508,0.0941781651795495,1,5,0
w/o dynamic rewiring,一般,8,20261911,1,208.764573735422,0.1025343,0.001171,0.001171,0.1013633,1349,1.57680041106237,0.0642576581269783,1,5,0
w/o seed shortcutting,一般,8,20261911,1,209.004297236076,0.0756998,0.0015796,0.0015796,0.0741202,1360,2.8949630544648,0.111174253677646,1,5,0
AB-IRRT* (full),一般,8,20261911,1,209.004297236076,0.0743746,0.0015015,0.0015015,0.0728731,1360,2.8949630544648,0.111174253677646,1,5,0
APF-only,一般,9,20261912,1,229.358752665851,0.0016027,0.0015259,0.0016027,0,NaN,16.5135672987644,0.40276509044968,1,5,0
Informed-RRT*,一般,9,20261912,1,210.174299237633,0.1050212,0.0077748,0,0.1050212,1376,2.25035017272601,0.264695723040713,1,5,0
w/o ellipse seeding,一般,9,20261912,1,209.159144865104,0.099927,0.0034005,0.0011745,0.0987525,1369,2.2408662838158,0.13647493839467,1,5,0
w/o path-bias sampling,一般,9,20261912,1,210.275233024531,0.0871931,0.0015871,0.0015871,0.085606,1337,2.68090672888967,0.200779694535306,1,5,0
w/o dynamic rewiring,一般,9,20261912,1,209.660724148852,0.0988394,0.001227,0.001227,0.0976124,1377,1.62354872020282,0.0345738047970965,1,5,0
w/o seed shortcutting,一般,9,20261912,1,210.259318715568,0.0720945,0.0018145,0.0018145,0.07028,1375,4.27663418385751,0.200048876301137,1,5,0
AB-IRRT* (full),一般,9,20261912,1,210.259318715568,0.0768528,0.001276,0.001276,0.0755768,1375,4.27663418385751,0.200048876301137,1,5,0
APF-only,一般,10,20261913,1,229.358752665851,0.0013384,0.0012781,0.0013384,0,NaN,16.5135672987644,0.40276509044968,1,5,0
Informed-RRT*,一般,10,20261913,1,213.086755289699,0.0987677,0.0036354,0,0.0987677,1334,4.02631617840465,0.605941045530841,1,5,0
w/o ellipse seeding,一般,10,20261913,1,209.908530691496,0.0875411,0.0057679,0.0018849,0.0856562,1374,2.61375571039568,0.4931802280796,1,5,0
w/o path-bias sampling,一般,10,20261913,1,212.33305530512,0.0854522,0.0021312,0.0021312,0.083321,1264,3.25936412792004,0.27770537676943,1,5,0
w/o dynamic rewiring,一般,10,20261913,1,209.368670419438,0.1014964,0.0016179,0.0016179,0.0998785,1353,2.4740054337179,0.208541506714468,1,5,0
w/o seed shortcutting,一般,10,20261913,1,209.709850931175,0.074379,0.0016243,0.0016243,0.0727547,1353,2.26420077424005,0.098310187486419,1,5,0
AB-IRRT* (full),一般,10,20261913,1,209.709850931175,0.0753428,0.0014879,0.0014879,0.0738549,1353,2.26420077424005,0.098310187486419,1,5,0
APF-only,一般,11,20261914,1,229.358752665851,0.0010991,0.0010384,0.0010991,0,NaN,16.5135672987644,0.40276509044968,1,5,0
Informed-RRT*,一般,11,20261914,1,209.807427436396,0.0876096,0.0096175,0,0.0876096,1366,2.84756371898234,0.219001518974773,1,5,0
w/o ellipse seeding,一般,11,20261914,1,208.979942191403,0.1045203,0.0056752,0.0020628,0.1024575,1366,1.86321578875374,0.0998821240061134,1,5,0
