dim,scenario,run,seed,rcSuccess,lenRaw,lenSeed,tSeed,success,length,tOpt,time
3d,悬挑,24,20265927,1,257.090,257.090,0.0019,1,249.467,0.6249,0.6268
3d,悬挑,25,20265928,1,250.678,250.678,0.0023,1,249.298,0.6211,0.6234
3d,悬挑,26,20265929,1,251.447,251.447,0.0018,1,249.303,0.6487,0.6505
3d,悬挑,27,20265930,1,251.053,251.053,0.0037,1,249.248,0.6680,0.6716
3d,悬挑,28,20265931,1,256.590,256.590,0.0017,1,249.348,0.6210,0.6226
3d,悬挑,29,20265932,1,250.302,250.302,0.0021,1,249.125,0.6832,0.6853
3d,悬挑,30,20265933,1,250.025,250.025,0.0025,1,249.282,0.6405,0.6430
3d,悬挑,31,20265934,1,250.670,250.670,0.0029,1,249.223,0.6275,0.6303
3d,悬挑,32,20265935,1,250.421,250.421,0.0016,1,249.534,0.6335,0.6351
3d,悬挑,33,20265936,1,254.351,254.351,0.0033,1,249.402,0.5628,0.5661
3d,悬挑,34,20265937,1,250.460,250.460,0.0015,1,249.216,0.5545,0.5559
3d,悬挑,35,20265938,1,250.318,250.318,0.0017,1,249.276,0.5639,0.5657
3d,悬挑,36,20265939,1,262.847,262.847,0.0025,1,249.275,0.5983,0.6008
3d,悬挑,37,20265940,1,258.865,258.865,0.0025,1,249.254,0.5516,0.5541
3d,悬挑,38,20265941,1,249.643,249.643,0.0016,1,249.643,0.6274,0.6291
3d,悬挑,39,20265942,1,252.093,252.093,0.0023,1,249.324,0.6131,0.6155
3d,悬挑,40,20265943,1,250.937,250.937,0.0019,1,249.415,0.5899,0.5918
3d,悬挑,41,20265944,1,250.468,250.468,0.0014,1,249.261,0.5963,0.5977
3d,悬挑,42,20265945,1,249.569,249.569,0.0021,1,249.569,0.5973,0.5994
3d,悬挑,43,20265946,1,253.017,253.017,0.0018,1,249.541,0.5950,0.5969
3d,悬挑,44,20265947,1,252.780,252.780,0.0025,1,249.474,0.6432,0.6457
3d,悬挑,45,20265948,1,251.717,251.717,0.0021,1,249.385,0.6342,0.6364
3d,悬挑,46,20265949,1,251.777,251.777,0.0018,1,249.421,0.6428,0.6446
3d,悬挑,47,20265950,1,251.365,251.365,0.0018,1,249.056,0.5945,0.5964
3d,悬挑,48,20265951,1,250.033,250.033,0.0020,1,249.213,0.7170,0.7190
3d,悬挑,49,20265952,1,256.552,256.552,0.0022,1,249.484,0.6464,0.6486
3d,悬挑,50,20265953,1,250.752,250.752,0.0019,1,249.185,0.6586,0.6605
