dim,scenario,algorithm,run,seed,success,length,time,firstSolutionTime,tPlanner,tShortcut,tPre,tOpt,nodes,iterations,turnSum,minClear,straightness,escapes,sideFlips,fallback
2d,一般,APF-only,16,20261919,1,229.358753,0.002502,0.002370,0.002502,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,16,20261919,1,208.459047,0.092982,0.002125,0.090375,0.000174,0.002125,0.090725,1338.0,2000.0,0.578415,0.107837,0.976915,1.0,5.0,0
2d,一般,APF-only,17,20261920,1,229.358753,0.001860,0.001731,0.001860,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,17,20261920,1,208.615213,0.085978,0.001726,0.083711,0.000246,0.001726,0.084133,1336.0,2000.0,0.595257,0.173020,0.976184,1.0,5.0,0
2d,一般,APF-only,18,20261921,1,229.358753,0.001881,0.001761,0.001881,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,18,20261921,1,208.979754,0.085040,0.001733,0.082753,0.000210,0.001733,0.083136,1314.0,2000.0,0.628729,0.282901,0.974481,1.0,5.0,0
2d,一般,APF-only,19,20261922,1,229.358753,0.001374,0.001277,0.001374,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,19,20261922,1,208.830480,0.089145,0.001722,0.086996,0.000134,0.001722,0.087312,1306.0,2000.0,0.616369,0.250524,0.975177,1.0,5.0,0
2d,一般,APF-only,20,20261923,1,229.358753,0.001316,0.001221,0.001316,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,20,20261923,1,208.851150,0.088086,0.002430,0.085232,0.000113,0.002430,0.085545,1357.0,2000.0,0.602618,0.026911,0.975081,1.0,5.0,0
2d,一般,APF-only,21,20261924,1,229.358753,0.001230,0.001143,0.001230,NaN,NaN,NaN,NaN,52.0,16.513567,0.402765,0.887896,1.0,5.0,0
2d,一般,AB-IRRT*,21,20261924,1,208.772346,0.091631,0.002609,0.088559,0.000110,0.002609,0.088882,1352.0,2000.0,0.610044,0.214340,0.975449,1.0,5.0,0
