dim,scenario,algorithm,run,seed,success,length,time,firstSolutionTime,tPlanner,tShortcut,tPre,tOpt,nodes,iterations,turnSum,minClear,straightness,escapes,sideFlips,fallback
2d,狭窄,AB-IRRT*,26,20262929,1,212.885244,0.057947,0.008670,0.048981,0.000000,0.008670,0.049149,1002.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,27,20262930,1,279.791130,0.007988,0.007847,0.007988,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,27,20262930,1,212.885244,0.019199,0.006012,0.012775,0.000000,0.006012,0.012999,164.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,28,20262931,1,279.791130,0.007666,0.007528,0.007666,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,28,20262931,1,212.885244,0.019861,0.006482,0.013125,0.000000,0.006482,0.013279,176.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,29,20262932,1,279.791130,0.008978,0.008867,0.008978,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,29,20262932,1,212.885244,0.023938,0.006792,0.016852,0.000000,0.006792,0.017031,166.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,30,20262933,1,279.791130,0.007896,0.007773,0.007896,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,30,20262933,1,212.885244,0.027624,0.006031,0.021340,0.000000,0.006031,0.021493,181.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,31,20262934,1,279.791130,0.005934,0.005834,0.005934,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,31,20262934,1,212.885244,0.027235,0.011183,0.015753,0.000000,0.011183,0.015917,171.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,32,20262935,1,279.791130,0.014196,0.014057,0.014196,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,32,20262935,1,212.885244,0.020186,0.007870,0.012083,0.000000,0.007870,0.012207,158.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,33,20262936,1,279.791130,0.006625,0.006492,0.006625,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,33,20262936,1,212.885244,0.060970,0.008449,0.052238,0.000000,0.008449,0.052403,1155.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,34,20262937,1,279.791130,0.009978,0.009859,0.009978,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,34,20262937,1,212.885244,0.026984,0.009174,0.017531,0.000000,0.009174,0.017681,174.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,35,20262938,1,279.791130,0.006849,0.006694,0.006849,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,35,20262938,1,212.885244,0.024797,0.007304,0.017224,0.000000,0.007304,0.017387,177.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,36,20262939,1,279.791130,0.006581,0.006470,0.006581,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,36,20262939,1,212.885244,0.026626,0.006977,0.019375,0.000000,0.006977,0.019512,165.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,37,20262940,1,279.791130,0.007408,0.007200,0.007408,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,37,20262940,1,212.885244,0.083290,0.006215,0.076777,0.000000,0.006215,0.076963,1126.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,38,20262941,1,279.791130,0.008622,0.008492,0.008622,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,38,20262941,1,212.885244,0.074403,0.009011,0.065029,0.000000,0.009011,0.065243,1174.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,39,20262942,1,279.791130,0.009765,0.009613,0.009765,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,39,20262942,1,212.885244,0.027781,0.007878,0.019604,0.000000,0.007878,0.019777,176.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,40,20262943,1,279.791130,0.010230,0.010067,0.010230,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,40,20262943,1,212.885244,0.053719,0.007851,0.045593,0.000000,0.007851,0.045740,1103.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,41,20262944,1,279.791130,0.006225,0.006127,0.006225,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,41,20262944,1,212.885244,0.045501,0.010843,0.034320,0.000000,0.010843,0.034510,622.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,42,20262945,1,279.791130,0.009620,0.009480,0.009620,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,42,20262945,1,212.885244,0.057956,0.007082,0.050635,0.000000,0.007082,0.050765,1179.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,43,20262946,1,279.791130,0.006803,0.006704,0.006803,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,43,20262946,1,212.885244,0.033760,0.006533,0.026956,0.000000,0.006533,0.027115,639.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,44,20262947,1,279.791130,0.006663,0.006556,0.006663,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,44,20262947,1,212.885244,0.023762,0.007382,0.015993,0.000000,0.007382,0.016256,190.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,45,20262948,1,279.791130,0.009734,0.009617,0.009734,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,45,20262948,1,212.885244,0.066841,0.007719,0.058826,0.000000,0.007719,0.058984,1155.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,46,20262949,1,279.791130,0.008468,0.008350,0.008468,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,46,20262949,1,212.885244,0.029799,0.010549,0.018975,0.000000,0.010549,0.019124,143.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,47,20262950,1,279.791130,0.010352,0.010227,0.010352,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,47,20262950,1,212.885244,0.020127,0.007122,0.012741,0.000000,0.007122,0.012890,157.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,48,20262951,1,279.791130,0.006024,0.005934,0.006024,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,48,20262951,1,212.885244,0.067835,0.006318,0.061246,0.000000,0.006318,0.061403,1237.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,49,20262952,1,279.791130,0.009613,0.009489,0.009613,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,49,20262952,1,212.885244,0.027380,0.006346,0.020772,0.000000,0.006346,0.020917,151.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,50,20262953,1,279.791130,0.005671,0.005572,0.005671,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,50,20262953,1,212.885244,0.049782,0.006421,0.043140,0.000000,0.006421,0.043268,886.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,广阔,APF-only,1,20263904,1,301.840642,0.002802,0.002717,0.002802,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,1,20263904,1,209.295009,0.087524,0.002051,0.084809,0.000293,0.002051,0.085322,1309.0,2000.0,0.631700,0.636250,0.973013,1.0,8.0,0
2d,广阔,APF-only,2,20263905,1,301.840642,0.002417,0.002293,0.002417,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,2,20263905,1,209.620910,0.077037,0.002010,0.074539,0.000206,0.002010,0.074895,1321.0,2000.0,0.744361,0.017164,0.971500,1.0,8.0,0
2d,广阔,APF-only,3,20263906,1,301.840642,0.001831,0.001733,0.001831,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,3,20263906,1,208.781264,0.070013,0.001859,0.067732,0.000144,0.001859,0.068031,1356.0,2000.0,0.583515,0.193567,0.975407,1.0,8.0,0
2d,广阔,APF-only,4,20263907,1,301.840642,0.002920,0.002783,0.002920,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,4,20263907,1,209.873753,0.079429,0.002811,0.075904,0.000095,0.002811,0.076157,1368.0,2000.0,0.805065,0.817200,0.970330,1.0,8.0,0
2d,广阔,APF-only,5,20263908,1,301.840642,0.001629,0.001544,0.001629,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,5,20263908,1,208.946929,0.075273,0.001711,0.073042,0.000242,0.001711,0.073456,1293.0,2000.0,0.628853,0.300963,0.974634,1.0,8.0,0
2d,广阔,APF-only,6,20263909,1,301.840642,0.001885,0.001770,0.001885,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,6,20263909,1,208.493213,0.081451,0.002080,0.078942,0.000154,0.002080,0.079266,1331.0,2000.0,0.572032,0.095565,0.976755,1.0,8.0,0
2d,广阔,APF-only,7,20263910,1,301.840642,0.002002,0.001887,0.002002,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,7,20263910,1,208.628178,0.074621,0.002499,0.071574,0.000217,0.002499,0.072014,1263.0,2000.0,0.596380,0.107285,0.976123,1.0,8.0,0
2d,广阔,APF-only,8,20263911,1,301.840642,0.001524,0.001438,0.001524,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,8,20263911,1,208.640824,0.068196,0.001806,0.066035,0.000132,0.001806,0.066305,1254.0,2000.0,0.624036,0.036616,0.976064,1.0,8.0,0
2d,广阔,APF-only,9,20263912,1,301.840642,0.001601,0.001506,0.001601,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,9,20263912,1,208.656464,0.068265,0.003571,0.064208,0.000127,0.003571,0.064552,1337.0,2000.0,0.609588,0.162978,0.975991,1.0,8.0,0
2d,广阔,APF-only,10,20263913,1,301.840642,0.001798,0.001703,0.001798,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,10,20263913,1,208.787165,0.076683,0.003101,0.073062,0.000184,0.003101,0.073439,1323.0,2000.0,0.598634,0.136451,0.975380,1.0,8.0,0
2d,广阔,APF-only,11,20263914,1,301.840642,0.002608,0.002467,0.002608,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,11,20263914,1,209.045055,0.098261,0.002271,0.095392,0.000250,0.002271,0.095856,1365.0,2000.0,0.625456,0.295371,0.974176,1.0,8.0,0
2d,广阔,APF-only,12,20263915,1,301.840642,0.001594,0.001484,0.001594,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,12,20263915,1,208.668156,0.099367,0.007840,0.090879,0.000174,0.007840,0.091336,1321.0,2000.0,0.577000,0.204105,0.975936,1.0,8.0,0
2d,广阔,APF-only,13,20263916,1,301.840642,0.001996,0.001866,0.001996,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,13,20263916,1,209.456055,0.090948,0.002206,0.088139,0.000233,0.002206,0.088628,1330.0,2000.0,0.657892,0.689062,0.972265,1.0,8.0,0
2d,广阔,APF-only,14,20263917,1,301.840642,0.002147,0.002026,0.002147,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,14,20263917,1,208.641907,0.090036,0.002036,0.087478,0.000246,0.002036,0.087901,1328.0,2000.0,0.590894,0.030992,0.976059,1.0,8.0,0
2d,广阔,APF-only,15,20263918,1,301.840642,0.002227,0.002111,0.002227,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,15,20263918,1,214.672931,0.092986,0.002598,0.089718,0.000368,0.002598,0.090272,1375.0,2000.0,1.570784,0.010951,0.948637,1.0,8.0,0
2d,广阔,APF-only,16,20263919,1,301.840642,0.002502,0.002376,0.002502,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,16,20263919,1,208.772197,0.084447,0.002951,0.081046,0.000156,0.002951,0.081385,1270.0,2000.0,0.600983,0.471080,0.975450,1.0,8.0,0
2d,广阔,APF-only,17,20263920,1,301.840642,0.001885,0.001784,0.001885,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,17,20263920,1,209.086244,0.097005,0.002116,0.094220,0.000291,0.002116,0.094725,1345.0,2000.0,0.698511,0.106325,0.973984,1.0,8.0,0
2d,广阔,APF-only,18,20263921,1,301.840642,0.003175,0.003050,0.003175,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,18,20263921,1,209.046085,0.091657,0.002837,0.088203,0.000180,0.002837,0.088571,1288.0,2000.0,0.615629,0.299268,0.974172,1.0,8.0,0
2d,广阔,APF-only,19,20263922,1,301.840642,0.002350,0.002217,0.002350,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,19,20263922,1,208.944768,0.079952,0.002784,0.076672,0.000200,0.002784,0.077054,1279.0,2000.0,0.632026,0.100547,0.974644,1.0,8.0,0
2d,广阔,APF-only,20,20263923,1,301.840642,0.002444,0.002291,0.002444,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,20,20263923,1,208.777779,0.097388,0.002778,0.093992,0.000182,0.002778,0.094489,1317.0,2000.0,0.595716,0.375229,0.975424,1.0,8.0,0
2d,广阔,APF-only,21,20263924,1,301.840642,0.002241,0.002119,0.002241,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,21,20263924,1,209.231519,0.089398,0.003043,0.085866,0.000174,0.003043,0.086219,1280.0,2000.0,0.648329,0.251041,0.973308,1.0,8.0,0
2d,广阔,APF-only,22,20263925,1,301.840642,0.001987,0.001882,0.001987,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,22,20263925,1,209.017940,0.087936,0.002380,0.085062,0.000185,0.002380,0.085431,1343.0,2000.0,0.648874,0.167273,0.974303,1.0,8.0,0
2d,广阔,APF-only,23,20263926,1,301.840642,0.002615,0.002467,0.002615,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,23,20263926,1,208.628526,0.085549,0.002967,0.082063,0.000191,0.002967,0.082452,1374.0,2000.0,0.587479,0.185625,0.976121,1.0,8.0,0
2d,广阔,APF-only,24,20263927,1,301.840642,0.002438,0.002315,0.002438,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,24,20263927,1,208.821165,0.089351,0.002640,0.086283,0.000147,0.002640,0.086594,1395.0,2000.0,0.614885,0.004243,0.975221,1.0,8.0,0
2d,广阔,APF-only,25,20263928,1,301.840642,0.002946,0.002813,0.002946,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,25,20263928,1,208.822208,0.089245,0.003021,0.085782,0.000155,0.003021,0.086110,1340.0,2000.0,0.610143,0.003293,0.975216,1.0,8.0,0
2d,广阔,APF-only,26,20263929,1,301.840642,0.002142,0.002032,0.002142,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,26,20263929,1,208.882348,0.089816,0.002964,0.086337,0.000207,0.002964,0.086729,1385.0,2000.0,0.596787,0.457146,0.974935,1.0,8.0,0
2d,广阔,APF-only,27,20263930,1,301.840642,0.002883,0.002747,0.002883,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,27,20263930,1,208.946819,0.102587,0.002357,0.099778,0.000146,0.002357,0.100117,1375.0,2000.0,0.597945,0.152811,0.974634,1.0,8.0,0
2d,广阔,APF-only,28,20263931,1,301.840642,0.002662,0.002525,0.002662,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,28,20263931,1,208.490941,0.084239,0.002930,0.080713,0.000167,0.002930,0.081168,1318.0,2000.0,0.590621,0.030341,0.976765,1.0,8.0,0
2d,广阔,APF-only,29,20263932,1,301.840642,0.002276,0.002159,0.002276,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,29,20263932,1,208.658518,0.080246,0.002579,0.077266,0.000122,0.002579,0.077570,1338.0,2000.0,0.617811,0.043151,0.975981,1.0,8.0,0
2d,广阔,APF-only,30,20263933,1,301.840642,0.001922,0.001834,0.001922,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,30,20263933,1,209.463619,0.111705,0.004227,0.106872,0.000198,0.004227,0.107322,1327.0,2000.0,0.763923,0.019731,0.972230,1.0,8.0,0
2d,广阔,APF-only,31,20263934,1,301.840642,0.003217,0.003092,0.003217,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,31,20263934,1,208.701278,0.085717,0.002561,0.082712,0.000178,0.002561,0.083054,1329.0,2000.0,0.595002,0.013924,0.975781,1.0,8.0,0
2d,广阔,APF-only,32,20263935,1,301.840642,0.002577,0.002449,0.002577,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,32,20263935,1,208.974298,0.084096,0.002213,0.081249,0.000340,0.002213,0.081776,1307.0,2000.0,0.607259,0.674735,0.974506,1.0,8.0,0
2d,广阔,APF-only,33,20263936,1,301.840642,0.001992,0.001889,0.001992,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,33,20263936,1,209.562815,0.083526,0.001969,0.081202,0.000115,0.001969,0.081468,1350.0,2000.0,0.780373,0.263438,0.971770,1.0,8.0,0
2d,广阔,APF-only,34,20263937,1,301.840642,0.002687,0.002552,0.002687,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,34,20263937,1,208.998406,0.080084,0.003340,0.076152,0.000221,0.003340,0.076604,1289.0,2000.0,0.638658,0.298543,0.974394,1.0,8.0,0
2d,广阔,APF-only,35,20263938,1,301.840642,0.002503,0.002381,0.002503,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,35,20263938,1,208.772267,0.086846,0.002535,0.083451,0.000123,0.002535,0.084036,1349.0,2000.0,0.631414,0.092690,0.975449,1.0,8.0,0
2d,广阔,APF-only,36,20263939,1,301.840642,0.001513,0.001426,0.001513,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,36,20263939,1,208.879958,0.084147,0.002742,0.080868,0.000151,0.002742,0.081288,1375.0,2000.0,0.656305,0.298933,0.974946,1.0,8.0,0
2d,广阔,APF-only,37,20263940,1,301.840642,0.001856,0.001751,0.001856,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,37,20263940,1,208.750922,0.088526,0.001955,0.086139,0.000153,0.001955,0.086471,1362.0,2000.0,0.572843,0.018314,0.975549,1.0,8.0,0
2d,广阔,APF-only,38,20263941,1,301.840642,0.001848,0.001643,0.001848,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,38,20263941,1,209.045323,0.084258,0.001874,0.081717,0.000258,0.001874,0.082208,1257.0,2000.0,0.678637,0.163649,0.974175,1.0,8.0,0
2d,广阔,APF-only,39,20263942,1,301.840642,0.002567,0.002416,0.002567,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,39,20263942,1,209.749846,0.088280,0.002511,0.085355,0.000142,0.002511,0.085662,1396.0,2000.0,0.625330,1.281545,0.970903,1.0,8.0,0
2d,广阔,APF-only,40,20263943,1,301.840642,0.002440,0.002319,0.002440,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,40,20263943,1,208.947943,0.090918,0.002820,0.087625,0.000137,0.002820,0.087971,1399.0,2000.0,0.621531,0.611441,0.974629,1.0,8.0,0
2d,广阔,APF-only,41,20263944,1,301.840642,0.002069,0.001959,0.002069,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,41,20263944,1,208.761290,0.085017,0.002493,0.082044,0.000159,0.002493,0.082411,1306.0,2000.0,0.601710,0.286433,0.975501,1.0,8.0,0
2d,广阔,APF-only,42,20263945,1,301.840642,0.001562,0.001473,0.001562,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,42,20263945,1,209.078560,0.089172,0.002774,0.085889,0.000162,0.002774,0.086282,1352.0,2000.0,0.630231,0.505135,0.974020,1.0,8.0,0
2d,广阔,APF-only,43,20263946,1,301.840642,0.002405,0.002278,0.002405,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,43,20263946,1,210.106745,0.095881,0.002551,0.092897,0.000126,0.002551,0.093218,1362.0,2000.0,0.864463,0.221126,0.969254,1.0,8.0,0
2d,广阔,APF-only,44,20263947,1,301.840642,0.003309,0.003159,0.003309,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,44,20263947,1,209.390084,0.085796,0.002890,0.081936,0.000205,0.002890,0.082717,1269.0,2000.0,0.750420,0.020772,0.972571,1.0,8.0,0
2d,广阔,APF-only,45,20263948,1,301.840642,0.001803,0.001708,0.001803,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,45,20263948,1,208.895230,0.093058,0.002447,0.090147,0.000141,0.002447,0.090494,1410.0,2000.0,0.632146,0.111902,0.974875,1.0,8.0,0
2d,广阔,APF-only,46,20263949,1,301.840642,0.002827,0.002678,0.002827,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,46,20263949,1,210.212274,0.094182,0.002536,0.091142,0.000179,0.002536,0.091532,1360.0,2000.0,0.868029,0.008856,0.968767,1.0,8.0,0
2d,广阔,APF-only,47,20263950,1,301.840642,0.002783,0.002481,0.002783,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,47,20263950,1,208.526692,0.087210,0.002511,0.084283,0.000137,0.002511,0.084600,1312.0,2000.0,0.583310,0.215739,0.976598,1.0,8.0,0
2d,广阔,APF-only,48,20263951,1,301.840642,0.001891,0.001791,0.001891,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,48,20263951,1,208.888055,0.089080,0.003678,0.084866,0.000131,0.003678,0.085272,1369.0,2000.0,0.604324,0.410285,0.974909,1.0,8.0,0
2d,广阔,APF-only,49,20263952,1,301.840642,0.002859,0.002664,0.002859,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,49,20263952,1,209.472809,0.089653,0.002404,0.086822,0.000147,0.002404,0.087147,1328.0,2000.0,0.658696,0.689287,0.972187,1.0,8.0,0
2d,广阔,APF-only,50,20263953,1,301.840642,0.002351,0.002083,0.002351,NaN,NaN,NaN,NaN,72.0,53.671042,0.127432,0.674683,1.0,8.0,0
2d,广阔,AB-IRRT*,50,20263953,1,208.589981,0.077960,0.002963,0.074525,0.000153,0.002963,0.074882,1262.0,2000.0,0.585917,0.093999,0.976302,1.0,8.0,0
3d,一般,APF-only,1,20261904,1,716.427491,0.105457,0.096524,0.105457,NaN,NaN,NaN,NaN,118.0,147.402736,0.120433,0.360226,5.0,11.0,0
3d,一般,AB-IRRT*,1,20261904,1,277.482075,0.734697,0.045047,0.669261,0.003246,0.045047,0.679262,3950.0,6000.0,3.495230,0.415826,0.930062,5.0,11.0,0
3d,一般,APF-only,2,20261905,1,716.427491,0.019981,0.019437,0.019981,NaN,NaN,NaN,NaN,118.0,147.402736,0.120433,0.360226,5.0,11.0,0
3d,一般,AB-IRRT*,2,20261905,1,273.629930,0.603459,0.021776,0.577331,0.001692,0.021776,0.580475,3629.0,6000.0,2.773939,0.034043,0.943155,5.0,11.0,0
3d,一般,APF-only,3,20261906,1,716.427491,0.024766,0.021981,0.024766,NaN,NaN,NaN,NaN,118.0,147.402736,0.120433,0.360226,5.0,11.0,0
3d,一般,AB-IRRT*,3,20261906,1,280.859043,0.575369,0.021646,0.549671,0.001700,0.021646,0.552198,3957.0,6000.0,4.247079,0.186032,0.918879,5.0,11.0,0
