scenario,algorithm,runs,successes,successRate,successCIlo,successCIhi,meanLength,stdLength,medianLength,lenCIlo,lenCIhi,meanTime,stdTime,timeCIlo,timeCIhi,meanFirstSol,firstCIlo,firstCIhi,meanMinClear,meanTurnSum,meanNodes,meanPre,meanOpt,meanEscapes,meanFlips,fallbackRate,deltaLength,pLength,deltaTime,pTime,deltaFirst,pFirst
悬空,RRT*,50,50,100,100,100,286.825332760097,9.94447435942114,285.991483227667,284.162221263927,289.706421855501,0.826769468,0.48089486278909,0.72890363495,0.98081862055,0.03081972,0.0138074996,0.0633852016,1.13378674876926,8.62142573098434,5363.6,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,-0.356,0.999750062484379,0.9184,0.000249937515621095
悬空,Informed-RRT*,50,50,100,100,100,281.881988167649,12.8575216177158,280.430042364115,278.700019587115,285.73382580285,0.813874732,0.213035694077847,0.75807813655,0.8749105499,0.018086328,0.0143371617,0.0237663072,1.39199755665789,8.50420184021767,4897.6,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,-0.0216,0.973006748312922,0.9232,0.000249937515621095
悬空,PRM*,50,50,100,100,100,275.097695152561,2.64966086852024,275.309114399028,274.360271199933,275.796414656247,2.587070604,0.54147964244323,2.44780035225,2.74623378815,0.001487506,0.0007917299,0.0026561379,1.55582430842351,3.72701917299547,6002,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,1,0.000249937515621095,-0.9272,0.000249937515621095
悬空,FMT*,50,50,100,100,100,272.608518355586,3.84499290954366,272.186491909791,271.585209540369,273.676351629225,0.235662376,0.1152733611226,0.20597919765,0.26879052935,0.018860082,0.015055309,0.0234193894,0.78885054936654,2.21176577256821,6002,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,-1,0.000249937515621095,0.9,0.000249937515621095
悬空,BIT*,50,50,100,100,100,266.511338051747,3.50908159532322,265.340380975553,265.63054345456,267.542215802358,107.727094512,64.8177985112798,90.5185197885,126.4371600502,0.044410978,0.03802402985,0.0518248374,0.885178660899895,1.58452266143706,5259.7,NaN,NaN,NaN,NaN,0,0.9048,0.000249937515621095,1,0.000249937515621095,0.9688,0.000249937515621095
悬空,RRT#,50,50,100,100,100,285.204203126114,9.45516474302351,283.171355995732,282.677438686516,287.909370081483,0.779904766,0.182750914085778,0.7333301771,0.8337384779,0.016972682,0.0144244584,0.02043530455,0.984056897775047,8.00202860889855,5363.6,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,-0.3304,0.000249937515621095,0.9248,0.000249937515621095
悬空,APF-only,50,50,100,100,100,368.719651450309,5.74205242032923e-14,368.719651450309,368.719651450309,368.719651450309,0.006397788,0.0106553732933132,0.00447045385,0.00974632415,0.005878468,0.00428305865,0.0085592146,0.0815983202210475,31.9523634762041,NaN,NaN,NaN,1,8,0,1,0.000249937515621095,-1,0.000249937515621095,-0.0808,0.802299425143714
悬空,AB-IRRT*,50,50,100,100,100,263.327807373936,0.277428546880518,263.313481124901,263.253038904511,263.405866456518,0.814563222,0.159898506697315,0.7737869048,0.86218866075,0.005371352,0.004439335,0.0067176608,0.324903900325095,1.5641285522155,4937.14,0.005371352,0.808348938,1,8,0,0,1,0,1,0,1
