dim,scenario,algorithm,run,firstLen
2d,一般,AB-IRRT*,19,229.358752665851
2d,一般,RRT*,20,214.15424656179
2d,一般,Informed-RRT*,20,214.15424656179
2d,一般,PRM*,20,243.118849161111
2d,一般,FMT*,20,215.134367393329
2d,一般,BIT*,20,213.083709811847
2d,一般,RRT#,20,213.467886359495
2d,一般,AB-IRRT*,20,229.358752665851
2d,一般,RRT*,21,212.249837006458
2d,一般,Informed-RRT*,21,212.249837006458
2d,一般,PRM*,21,242.49016953014
2d,一般,FMT*,21,227.682915719627
2d,一般,BIT*,21,216.042790773305
2d,一般,RRT#,21,212.249837006458
2d,一般,AB-IRRT*,21,229.358752665851
2d,一般,RRT*,22,220.022047351076
2d,一般,Informed-RRT*,22,220.022047351076
2d,一般,PRM*,22,267.276184183358
2d,一般,FMT*,22,249.185699668037
2d,一般,BIT*,22,233.695895803989
2d,一般,RRT#,22,216.650142089249
2d,一般,AB-IRRT*,22,229.358752665851
2d,一般,RRT*,23,217.272631008338
2d,一般,Informed-RRT*,23,217.272631008338
2d,一般,PRM*,23,229.348813942806
2d,一般,FMT*,23,224.110511128825
2d,一般,BIT*,23,213.08117961972
2d,一般,RRT#,23,214.823805349444
2d,一般,AB-IRRT*,23,229.358752665851
2d,一般,RRT*,24,255.581139732482
2d,一般,Informed-RRT*,24,255.581139732482
2d,一般,PRM*,24,274.160374795091
2d,一般,FMT*,24,236.897382393069
2d,一般,BIT*,24,211.633652108185
2d,一般,RRT#,24,247.066757107245
2d,一般,AB-IRRT*,24,229.358752665851
2d,一般,RRT*,25,219.64477233191
2d,一般,Informed-RRT*,25,219.64477233191
2d,一般,PRM*,25,237.011666313838
2d,一般,FMT*,25,240.172248606315
2d,一般,BIT*,25,215.11373405296
2d,一般,RRT#,25,219.226912996445
2d,一般,AB-IRRT*,25,229.358752665851
2d,一般,RRT*,26,220.516816901519
2d,一般,Informed-RRT*,26,220.516816901519
2d,一般,PRM*,26,299.294605144738
2d,一般,FMT*,26,238.279397675264
2d,一般,BIT*,26,212.929703671815
2d,一般,RRT#,26,217.359434089005
2d,一般,AB-IRRT*,26,229.358752665851
2d,一般,RRT*,27,224.559372741114
2d,一般,Informed-RRT*,27,224.559372741114
2d,一般,PRM*,27,213.399906642286
2d,一般,FMT*,27,247.587164052062
2d,一般,BIT*,27,229.162986096512
2d,一般,RRT#,27,223.483875307028
2d,一般,AB-IRRT*,27,229.358752665851
2d,一般,RRT*,28,230.220352892671
2d,一般,Informed-RRT*,28,230.220352892671
2d,一般,PRM*,28,275.619871165483
2d,一般,FMT*,28,222.410800920227
2d,一般,BIT*,28,215.01331114976
2d,一般,RRT#,28,222.476952345821
2d,一般,AB-IRRT*,28,229.358752665851
2d,一般,RRT*,29,218.103684989358
2d,一般,Informed-RRT*,29,218.103684989358
2d,一般,PRM*,29,231.672682734478
2d,一般,FMT*,29,230.571343583059
2d,一般,RRT#,29,213.917507395468
2d,一般,AB-IRRT*,29,229.358752665851
2d,一般,RRT*,30,247.240848034765
2d,一般,Informed-RRT*,30,247.240848034765
2d,一般,PRM*,30,264.21187328842
2d,一般,FMT*,30,246.179287755381
