scenario,algorithm,runs,successes,successRate,successCIlo,successCIhi,meanLength,stdLength,medianLength,lenCIlo,lenCIhi,meanTime,stdTime,timeCIlo,timeCIhi,meanFirstSol,firstCIlo,firstCIhi,meanMinClear,meanTurnSum,meanNodes,meanPre,meanOpt,meanEscapes,meanFlips,fallbackRate,deltaLength,pLength,deltaTime,pTime,deltaFirst,pFirst
悬挑,RRT*,50,50,100,100,100,266.420739947508,5.49706611734954,265.912486526497,264.952163450122,267.964402212477,0.754596806,0.305906602251307,0.6867358512,0.85317517865,0.014398906,0.00988519985,0.02247423585,1.26911798899516,7.63080474964924,5359.1,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,-0.2952,0.510622344413897,0.8544,0.000249937515621095
悬挑,Informed-RRT*,50,50,100,100,100,260.534792797101,5.38047639291542,259.714140989009,259.140681885667,262.067934364746,0.792636238,0.258560269682507,0.72887272115,0.8698534505,0.011199808,0.00967569185,0.0133758157,1.04284941529932,6.33692680879746,4913.98,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,-0.0672,0.870282429392652,0.8416,0.000249937515621095
悬挑,PRM*,50,50,100,100,100,260.881062346611,2.72114123265418,261.152151091676,260.115628374365,261.621641248366,2.341906838,0.472579863228684,2.2195373744,2.47707436805,0.001576562,0.00063642705,0.00326228505,1.94380365960586,4.34515214607626,6002,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,1,0.000249937515621095,-0.944,0.000249937515621095
悬挑,FMT*,50,50,100,100,100,259.467223075433,4.45503576272566,258.033702399959,258.309119292662,260.732431514376,0.315683846,0.179432724313264,0.26907877305,0.36670409165,0.016802912,0.0131429451,0.02172943205,1.12521194037642,2.01342769647657,6002,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,-0.9184,0.000249937515621095,0.8008,0.000249937515621095
悬挑,BIT*,50,50,100,100,100,253.619399839044,2.30749161302846,253.129850971669,253.025722735431,254.294656397779,116.78630946,84.2480567610301,95.1018957674,141.3921739541,0.042245122,0.0363062897,0.04891529805,0.866482617681236,1.66988444864071,4933.82,NaN,NaN,NaN,NaN,0,0.9984,0.000249937515621095,1,0.000249937515621095,0.9904,0.000249937515621095
悬挑,RRT#,50,50,100,100,100,264.617885200581,4.67412258512505,264.363244267967,263.343785635645,265.950143930845,0.732974074,0.160683725560454,0.6926559891,0.7788762925,0.012087996,0.01054766735,0.0139359407,1.16173084528807,7.05214370504539,5359.1,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,-0.2776,0.000249937515621095,0.8696,0.000249937515621095
悬挑,APF-only,50,50,100,100,100,323.969580313845,5.74205242032923e-14,323.969580313845,323.969580313845,323.969580313845,0.00539997,0.00814364973629447,0.00391476125,0.00798089055,0.004926598,0.00374052085,0.00695781175,0.148187916418948,31.4247601939522,NaN,NaN,NaN,0,3,0,1,0.000249937515621095,-1,0.000249937515621095,-0.6,0.352911772056986
悬挑,AB-IRRT*,50,50,100,100,100,250.148772824973,0.38875912789944,250.102698152209,250.045124328264,250.258351604235,0.784944336,0.157355349231662,0.7436998779,0.83046657035,0.005568556,0.0048391245,0.00654260815,0.161009116895781,1.73940210070035,4628.02,0.005568556,0.778579804,0,3,0,0,1,0,1,0,1
