dim,scenario,algorithm,eps,target,runs,reached,medianTime,estExtensions,preExist,note
3d,狭窄,AB-IRRT*,0.02,247.962772577464,50,1,0.0079465,58.3298073522041,0.78,
3d,狭窄,AB-IRRT*,0.05,247.962772577464,50,1,0.0079465,58.3298073522041,0.78,
3d,狭窄,RRT*,0.02,247.962772577464,50,0,NaN,NaN,0.4,
3d,狭窄,RRT*,0.05,247.962772577464,50,0.1,0.0439378,223.512939839431,0.4,
3d,狭窄,Informed-RRT*,0.02,247.962772577464,50,0,NaN,NaN,0.32,
3d,狭窄,Informed-RRT*,0.05,247.962772577464,50,0.12,0.2331398,1597.51237540397,0.32,
3d,狭窄,PRM*,0.02,247.962772577464,50,0.02,3.7752708,0,0,sample-to-time mapping not applicable
3d,狭窄,PRM*,0.05,247.962772577464,50,0.84,3.7478669,0,0,sample-to-time mapping not applicable
3d,狭窄,FMT*,0.02,247.962772577464,50,0,NaN,NaN,0.3,sample-to-time mapping not applicable
3d,狭窄,FMT*,0.05,247.962772577464,50,0.04,0.0736923,0,0.3,sample-to-time mapping not applicable
3d,狭窄,BIT*,0.02,247.962772577464,34,0,NaN,NaN,0.5,
3d,狭窄,BIT*,0.05,247.962772577464,34,0.0588235294117647,0.12657665,72.2197071946771,0.5,
3d,狭窄,RRT#,0.02,247.962772577464,50,0,NaN,NaN,0.1,
3d,狭窄,RRT#,0.05,247.962772577464,50,0.24,0.7016711,3908.92812111547,0.1,
3d,悬空,AB-IRRT*,0.02,263.327807373936,50,1,0.00417595,30.7596750298653,0,
3d,悬空,AB-IRRT*,0.05,263.327807373936,50,1,0.00417595,30.7596750298653,0,
3d,悬空,RRT*,0.02,263.327807373936,50,0,NaN,NaN,0.72,
3d,悬空,RRT*,0.05,263.327807373936,50,0.06,0.009895,71.8096183977611,0.72,
3d,悬空,Informed-RRT*,0.02,263.327807373936,50,0.02,0.7044528,5193.32599208891,0.24,
3d,悬空,Informed-RRT*,0.05,263.327807373936,50,0.2,0.4218541,3109.96827949193,0.24,
3d,悬空,PRM*,0.02,263.327807373936,50,0.02,4.0692434,0,0,sample-to-time mapping not applicable
3d,悬空,PRM*,0.05,263.327807373936,50,0.66,2.3855415,0,0,sample-to-time mapping not applicable
3d,悬空,FMT*,0.02,263.327807373936,50,0.18,0.0823609,0,0,sample-to-time mapping not applicable
3d,悬空,FMT*,0.05,263.327807373936,50,0.86,0.0305625,0,0,sample-to-time mapping not applicable
3d,悬空,BIT*,0.02,263.327807373936,50,0.52,0.15204285,8.46822337623133,0.02,
3d,悬空,BIT*,0.05,263.327807373936,50,0.94,0.0720435,4.01255600513619,0.02,
3d,悬空,RRT#,0.02,263.327807373936,50,0,NaN,NaN,0.36,
3d,悬空,RRT#,0.05,263.327807373936,50,0.08,0.00928745,71.450646834488,0.36,
3d,环廊,AB-IRRT*,0.02,174.625469255824,50,1,0.0651841,390.481652904672,0,
3d,环廊,AB-IRRT*,0.05,174.625469255824,50,1,0.0050984,30.5416759481097,0,
3d,环廊,RRT*,0.02,174.625469255824,50,0,NaN,NaN,0.26,
3d,环廊,RRT*,0.05,174.625469255824,50,0.04,0.03155965,157.627554858132,0.26,
3d,环廊,Informed-RRT*,0.02,174.625469255824,50,0.46,0.9076713,4326.67708313756,0,
3d,环廊,Informed-RRT*,0.05,174.625469255824,50,0.98,0.7538601,3593.49162914129,0,
3d,环廊,PRM*,0.02,174.625469255824,50,0,NaN,NaN,0,sample-to-time mapping not applicable
3d,环廊,PRM*,0.05,174.625469255824,50,0.14,3.3941556,0,0,sample-to-time mapping not applicable
3d,环廊,FMT*,0.02,174.625469255824,50,0,NaN,NaN,0.06,sample-to-time mapping not applicable
3d,环廊,FMT*,0.05,174.625469255824,50,0,NaN,NaN,0.06,sample-to-time mapping not applicable
3d,环廊,BIT*,0.02,174.625469255824,50,0,NaN,NaN,0.2,
3d,环廊,BIT*,0.05,174.625469255824,50,0.02,0.4080031,38.8150389199843,0.2,
3d,环廊,RRT#,0.02,174.625469255824,50,0,NaN,NaN,0.08,
3d,环廊,RRT#,0.05,174.625469255824,50,0.16,0.61646975,3446.18596133535,0.08,
3d,悬挑,AB-IRRT*,0.02,250.148772824973,50,1,0.01598215,122.165223191062,0,
3d,悬挑,AB-IRRT*,0.05,250.148772824973,50,1,0.0045601,34.8567391917584,0,
3d,悬挑,RRT*,0.02,250.148772824973,50,0,NaN,NaN,0.56,
3d,悬挑,RRT*,0.05,250.148772824973,50,0.04,0.01248935,99.3061452210812,0.56,
3d,悬挑,Informed-RRT*,0.02,250.148772824973,50,0.04,0.9211511,6972.81594637362,0,
3d,悬挑,Informed-RRT*,0.05,250.148772824973,50,0.42,0.5291559,4005.53904526379,0,
3d,悬挑,PRM*,0.02,250.148772824973,50,0.02,2.2594474,0,0,sample-to-time mapping not applicable
3d,悬挑,PRM*,0.05,250.148772824973,50,0.76,2.27391685,0,0,sample-to-time mapping not applicable
3d,悬挑,FMT*,0.02,250.148772824973,50,0.1,0.0536936,0,0.02,sample-to-time mapping not applicable
3d,悬挑,FMT*,0.05,250.148772824973,50,0.82,0.0247846,0,0.02,sample-to-time mapping not applicable
3d,悬挑,BIT*,0.02,250.148772824973,50,0.46,0.2301792,11.8256600999369,0,
3d,悬挑,BIT*,0.05,250.148772824973,50,0.98,0.0807907,4.15069370923163,0,
3d,悬挑,RRT#,0.02,250.148772824973,50,0,NaN,NaN,0.3,
3d,悬挑,RRT#,0.05,250.148772824973,50,0.12,0.2987175,2445.2501985766,0.3,
