scenario,algorithm,runs,successes,successRate,successCIlo,successCIhi,meanLength,stdLength,medianLength,lenCIlo,lenCIhi,meanTime,stdTime,timeCIlo,timeCIhi,meanFirstSol,firstCIlo,firstCIhi,meanMinClear,meanTurnSum,meanNodes,meanPre,meanOpt,meanEscapes,meanFlips,fallbackRate,deltaLength,pLength,deltaTime,pTime,deltaFirst,pFirst
环廊,RRT*,50,50,100,100,100,187.561768082912,4.7992495888358,187.46480811059,186.254430469812,188.894239300875,1.201299482,0.579250757950274,1.0807001859,1.38698503795,0.028644932,0.0205267777,0.0407914312,0.591618439934324,5.96413366558243,5093.84,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,0.5736,0.000249937515621095,0.916,0.000249937515621095
环廊,Informed-RRT*,50,50,100,100,100,177.86248352612,2.56185157893632,177.363250668721,177.261018064373,178.64508547692,1.258709096,0.277287899470997,1.18662640615,1.3384720084,0.023715352,0.0197483055,0.0279761315,0.29255562584179,3.46857474443952,4456.32,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,0.616,0.000249937515621095,0.9144,0.000249937515621095
环廊,PRM*,50,50,100,100,100,185.864949328068,2.32215988106874,186.409534779403,185.212217674345,186.505519532512,3.681784554,0.603637230298209,3.5233453615,3.85716286095,0.002671614,0.00175273245,0.00391820635,0.819648300498119,4.42771084193291,6002,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,1,0.000249937515621095,-0.8008,0.000249937515621095
环廊,FMT*,50,50,100,100,100,213.093720035129,16.5645919680077,211.785483105885,208.665949328735,217.799845985723,5.730871248,4.14149467956473,4.6501799959,6.9164920216,0.026616596,0.02199561095,0.03185797355,0.501286606249237,4.37323428261579,6002,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,0.9616,0.000249937515621095,0.9208,0.000249937515621095
环廊,BIT*,50,50,100,100,100,195.089637134822,15.4153257323597,189.872920482777,191.125429636786,199.579797771038,63.068817348,61.1305100070767,47.94391776635,81.1465887475,0.058889382,0.0514218089,0.0673406442,0.41994742952689,5.08762059832392,4457.58,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,1,0.000249937515621095,0.9912,0.000249937515621095
环廊,RRT#,50,50,100,100,100,186.541688403567,4.16586962799756,186.987612610892,185.3837531922,187.721186075749,1.073307866,0.214325042964302,1.01775632125,1.1335551158,0.024514534,0.0204348835,0.02924044715,0.469162656791042,5.84264170793899,5093.84,NaN,NaN,NaN,NaN,0,1,0.000249937515621095,0.4984,0.000249937515621095,0.9208,0.000249937515621095
环廊,APF-only,50,50,100,100,100,235.942780406757,2.87102621016462e-14,235.942780406757,235.942780406757,235.942780406757,0.0059782,0.00821970802209978,0.00449224815,0.0085244173,0.005458266,0.0042691577,0.0074155092,0.0563007751018114,25.1558157819012,NaN,NaN,NaN,2,3,0,1,0.000249937515621095,-1,0.000249937515621095,-0.584,0.0094976255936016
环廊,AB-IRRT*,50,50,100,100,100,174.625469255824,0.338499488166424,174.651302487929,174.531621907466,174.719545464317,1.00159533,0.221681482148688,0.94320637815,1.0655168327,0.006642494,0.00560451555,0.00800656795,0.118537266953555,1.70026211526054,3799.16,0.006642494,0.993964654,2,3,0,0,1,0,1,0,1
