variant,scenario,run,seed,success,length,time,firstSolutionTime,tPre,tOpt,nodes,turnSum,minClear,escapes,sideFlips,fallback
APF-only,一般,6,20261909,1,442.385244950109,0.0052638,0.0051529,0.0052638,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,6,20261909,1,271.902829563759,0.565881,0.007904,0,0.565881,4368,6.11710933715399,0.352803139664531,NaN,NaN,0
w/o seed shortcutting,一般,6,20261909,1,274.348017103948,0.4499712,0.0046424,0.0046424,0.4452166,4374,7.69348289380164,0.790880449447259,0,5,0
w/o ellipse seeding,一般,6,20261909,1,266.729007101243,0.479962,0.0053422,0.0053422,0.4745013,4207,3.14530579803589,0.931524170318314,0,5,0
w/o path-bias sampling,一般,6,20261909,1,265.539693028065,0.4203849,0.004433,0.004433,0.415847,3945,2.81575319396131,0.375267107780877,0,5,0
w/o dynamic rewiring,一般,6,20261909,1,276.853248435528,0.4972756,0.0048897,0.0048897,0.4922816,4149,1.94771587565652,0.292802083782291,0,5,0
AB-IRRT* (full),一般,6,20261909,1,267.406985709766,0.424491,0.0072231,0.0072231,0.4170011,4049,4.38385700921013,0.365752133290325,0,5,0
APF-only,一般,7,20261910,1,442.385244950109,0.0068048,0.0066409,0.0068048,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,7,20261910,1,280.167353945417,0.5522969,0.0130859,0,0.5522969,4342,9.16385402583405,0.0220344622053332,NaN,NaN,0
w/o seed shortcutting,一般,7,20261910,1,266.113725237304,0.4540681,0.0046286,0.0046286,0.4493296,4158,3.99578980217085,1.02728301580323,0,5,0
w/o ellipse seeding,一般,7,20261910,1,266.406030715615,0.4435195,0.0047597,0.0047597,0.4386553,4201,3.19987472467801,0.547184360186876,0,5,0
w/o path-bias sampling,一般,7,20261910,1,264.771487239207,0.4862135,0.005027,0.005027,0.481073,3924,2.24491164266343,0.358264538302144,0,5,0
w/o dynamic rewiring,一般,7,20261910,1,272.700675247013,0.4849846,0.00652,0.00652,0.4782946,4176,7.28893430442392,0.584868973908819,0,5,0
AB-IRRT* (full),一般,7,20261910,1,264.958994699282,0.5066928,0.0049976,0.0049976,0.5015876,4003,3.35954816093017,0.0732824746408749,0,5,0
APF-only,一般,8,20261911,1,442.385244950109,0.0048983,0.0048004,0.0048983,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,8,20261911,1,289.229173367236,0.4637894,0.0115252,0,0.4637894,4312,10.1145079557413,1.04812255285369,NaN,NaN,0
w/o seed shortcutting,一般,8,20261911,1,272.608280812955,0.472254,0.0041039,0.0041039,0.468045,4355,4.7716379276537,1.7663376120383,0,5,0
w/o ellipse seeding,一般,8,20261911,1,266.262196040276,0.4970654,0.0066569,0.0066569,0.4902813,4213,3.27521229244011,0.266337631295328,0,5,0
w/o path-bias sampling,一般,8,20261911,1,267.081528708623,0.496029,0.0060063,0.0060063,0.4899046,4127,4.73366669424112,1.49581060442183,0,5,0
w/o dynamic rewiring,一般,8,20261911,1,268.12031393521,0.5264297,0.0063877,0.0063877,0.5199076,4112,5.39406664841545,0.0780982808145296,0,5,0
AB-IRRT* (full),一般,8,20261911,1,264.798783903957,0.5278937,0.006775,0.006775,0.5209896,3956,2.59811219133898,0.212312562091527,0,5,0
APF-only,一般,9,20261912,1,442.385244950109,0.0059246,0.0057957,0.0059246,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,9,20261912,1,269.057553315436,0.533551,0.0112967,0,0.533551,4201,5.3755129127906,0.469720870822774,NaN,NaN,0
w/o seed shortcutting,一般,9,20261912,1,273.958272144188,0.4966264,0.0045136,0.0045136,0.4919947,4276,5.00045433640024,0.97011902595329,0,5,0
w/o ellipse seeding,一般,9,20261912,1,266.632903254985,0.4924442,0.0043866,0.0043866,0.4879519,4139,3.33177041472533,0.178865279469676,0,5,0
w/o path-bias sampling,一般,9,20261912,1,265.819693333252,0.4812576,0.0058729,0.0058729,0.4752518,4034,2.92478196862667,0.433655702517004,0,5,0
w/o dynamic rewiring,一般,9,20261912,1,270.945277627327,0.531401,0.0059568,0.0059568,0.5253171,4116,5.95945974665377,0.999489075350287,0,5,0
AB-IRRT* (full),一般,9,20261912,1,265.298851901815,0.4601375,0.0071369,0.0071369,0.4528622,3944,1.90233356877921,0.360587914968333,0,5,0
APF-only,一般,10,20261913,1,442.385244950109,0.0037636,0.0036775,0.0037636,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,10,20261913,1,280.844181350151,0.5407909,0.0110914,0,0.5407909,4407,9.06796960727372,2.28688470482815,NaN,NaN,0
