scenario,algorithm,run,seed,success,length,time,firstSolutionTime,tPlanner,tShortcut,tPre,tOpt,nodes,iterations,turnSum,minClear,straightness,escapes,sideFlips,fallback
一般,RRT*,1,20261904,1,211.713585914951,0.0189102,0.0121641,0.0166417,0,NaN,NaN,191,250,4.17113705992187,0.695344949490458,0.96189742430386,NaN,NaN,0
一般,Informed-RRT*,1,20261904,1,212.096563560742,0.0166062,0.0092952,0.0143949,0,NaN,NaN,186,250,3.88795822000322,0.688274866448271,0.960160549340552,NaN,NaN,0
一般,PRM*,1,20261904,1,219.069139780528,0.0364142,0.0075291,0.0338266,0,NaN,NaN,252,250,2.25578838195919,0.11620742072168,0.929600368110939,NaN,NaN,0
一般,FMT*,1,20261904,1,218.695625137044,0.0448814,0.0249006,0.0397441,0,NaN,NaN,252,250,2.12259191562196,0.0533733262349632,0.931188051220101,NaN,NaN,0
一般,BIT*,1,20261904,1,214.248611207651,0.0699614,0.0206453,0.0667267,0,NaN,NaN,107,250,3.5766300949691,0.535092267885663,0.950516093587882,NaN,NaN,0
一般,RRT#,1,20261904,1,211.713585914951,0.0206608,0.0110184,0.017373,0,NaN,NaN,191,250,4.17113705992187,0.695344949490458,0.96189742430386,NaN,NaN,0
一般,APF-only,1,20261904,1,229.358752665851,0.0088594,0.0082484,0.0088594,NaN,NaN,NaN,NaN,52,16.5135672987644,0.40276509044968,0.887896147911194,1,5,0
一般,AB-IRRT*,1,20261904,1,212.320830966407,0.016272,0.002479,0.0106491,0,0.002479,0.0115069,197,250,3.99538179110983,0.404071672326772,0.959146363806131,1,5,0
一般,RRT*,2,20261905,1,216.415001005241,0.0172427,0.0139348,0.0162054,0,NaN,NaN,192,250,4.98642116224202,0.833339680439364,0.941001095283565,NaN,NaN,0
一般,Informed-RRT*,2,20261905,1,214.323903455085,0.0096433,0.0078524,0.0087878,0,NaN,NaN,193,250,4.44225330224154,0.832568238203057,0.950182176130453,NaN,NaN,0
一般,PRM*,2,20261905,1,214.628739937914,0.0321267,0.0007086,0.0320318,0,NaN,NaN,252,250,2.88828323267237,1,0.948832635557731,NaN,NaN,0
一般,FMT*,2,20261905,1,222.371693861248,0.0382899,0.0146759,0.0380648,0,NaN,NaN,252,250,3.63698636930445,0.128111296428189,0.915794404609761,NaN,NaN,0
一般,BIT*,2,20261905,1,218.939890542162,0.1070893,0.1067344,0.1068412,0,NaN,NaN,206,250,1.99207133329639,0.128111508067336,0.930149149510554,NaN,NaN,0
一般,RRT#,2,20261905,1,216.415001005241,0.0104102,0.0078919,0.0090236,0,NaN,NaN,192,250,4.98642116224202,0.833339680439364,0.941001095283565,NaN,NaN,0
一般,APF-only,2,20261905,1,229.358752665851,0.0023754,0.0022662,0.0023754,NaN,NaN,NaN,NaN,52,16.5135672987644,0.40276509044968,0.887896147911194,1,5,0
一般,AB-IRRT*,2,20261905,1,211.020600169104,0.0118628,0.0019395,0.0091473,0,0.0019395,0.0098331,201,250,2.71623572843472,0.036729475060568,0.96505626852796,1,5,0
一般,RRT*,3,20261906,0,Inf,0.0076335,NaN,0.0072595,0,NaN,NaN,174,250,NaN,NaN,NaN,NaN,NaN,0
一般,Informed-RRT*,3,20261906,0,Inf,0.0081899,NaN,0.00755,0,NaN,NaN,174,250,NaN,NaN,NaN,NaN,NaN,0
一般,PRM*,3,20261906,1,216.617604191455,0.0264605,0.0004675,0.0263518,0,NaN,NaN,252,250,2.29528030216376,1,0.940120973740136,NaN,NaN,0
一般,FMT*,3,20261906,0,Inf,0.0050685,NaN,0.0049589,0,NaN,NaN,252,250,NaN,NaN,NaN,NaN,NaN,0
一般,BIT*,3,20261906,1,236.790098332292,0.0812745,0.0808457,0.0810205,0,NaN,NaN,206,250,6.29042878715871,0.450150921985875,0.860030695607654,NaN,NaN,0
一般,RRT#,3,20261906,0,Inf,0.0085175,NaN,0.0084112,0,NaN,NaN,174,250,NaN,NaN,NaN,NaN,NaN,0
一般,APF-only,3,20261906,1,229.358752665851,0.0018266,0.0017144,0.0018266,NaN,NaN,NaN,NaN,52,16.5135672987644,0.40276509044968,0.887896147911194,1,5,0
一般,AB-IRRT*,3,20261906,1,211.374587131647,0.010971,0.0021107,0.0086048,0,0.0021107,0.0087663,192,250,3.08860017068266,0.0380099251336166,0.963440098193508,1,5,0
一般,RRT*,4,20261907,1,217.692359706142,0.0108177,0.0059594,0.0093081,0,NaN,NaN,185,250,6.10631898649627,1,0.935479560498238,NaN,NaN,0
一般,Informed-RRT*,4,20261907,1,217.312467273215,0.0098961,0.0048988,0.0088747,0,NaN,NaN,185,250,4.83621351447101,0.940433937483526,0.937114908946719,NaN,NaN,0
一般,PRM*,4,20261907,1,214.862808405176,0.0256205,0.0026798,0.0255218,0,NaN,NaN,252,250,2.34049503332025,1,0.947798990869094,NaN,NaN,0
一般,FMT*,4,20261907,1,226.214641114853,0.012871,0.0104368,0.0122064,0,NaN,NaN,252,250,3.12189818397822,0.14060535932167,0.900236836917779,NaN,NaN,0
一般,BIT*,4,20261907,1,220.387655561901,0.058442,0.0417911,0.0583202,0,NaN,NaN,183,250,2.70425109615709,0.357912003734842,0.924038837213942,NaN,NaN,0
一般,RRT#,4,20261907,1,217.087762034231,0.0106116,0.0057697,0.0103216,0,NaN,NaN,185,250,5.32201432207869,0.212117537924534,0.938084906645332,NaN,NaN,0
一般,APF-only,4,20261907,1,229.358752665851,0.0017906,0.001691,0.0017906,NaN,NaN,NaN,NaN,52,16.5135672987644,0.40276509044968,0.887896147911194,1,5,0
一般,AB-IRRT*,4,20261907,1,210.377813804854,0.0091085,0.0017377,0.0071634,0,0.0017377,0.0072841,185,250,2.88669604797577,0.115997112257059,0.968004892239388,1,5,0
一般,RRT*,5,20261908,1,216.182982567301,0.0072087,0.0058205,0.0069931,0,NaN,NaN,162,250,5.26080027415697,0.586064271184529,0.942011024934986,NaN,NaN,0
一般,Informed-RRT*,5,20261908,1,216.153034970311,0.0060904,0.0052587,0.0059569,0,NaN,NaN,159,250,5.26080027415697,0.587245072383066,0.942141538793092,NaN,NaN,0
一般,PRM*,5,20261908,1,232.54381027573,0.0288925,0.000879,0.0287982,0,NaN,NaN,252,250,6.30114322821987,1,0.875734996946422,NaN,NaN,0
一般,FMT*,5,20261908,1,214.850088163174,0.0133744,0.0073272,0.0116717,0,NaN,NaN,252,250,2.16047310836514,0.340007025969634,0.94785510549598,NaN,NaN,0
一般,BIT*,5,20261908,1,212.828036128755,0.0455573,0.0345283,0.0442382,0,NaN,NaN,185,250,1.33026623382515,0.33993488712377,0.956860555996132,NaN,NaN,0
