scenario,algorithm,run,seed,success,length,time,firstSolutionTime,tPlanner,tShortcut,tPre,tOpt,nodes,iterations,turnSum,minClear,straightness,escapes,sideFlips,fallback
一般,RRT*,1,20261904,1,210.680253462492,0.0200964,0.0054232,0.0199282,0,NaN,NaN,382,500,2.77685794011455,1,0.966615283752643,NaN,NaN,0
一般,Informed-RRT*,1,20261904,1,211.57274117931,0.0166519,0.0051247,0.0164602,0,NaN,NaN,350,500,3.98495786734585,0.442719589098342,0.962537762882852,NaN,NaN,0
一般,PRM*,1,20261904,1,219.069139780528,0.0559211,0.0007277,0.0554845,0,NaN,NaN,502,500,2.25578838195919,0.11620742072168,0.929600368110939,NaN,NaN,0
一般,FMT*,1,20261904,1,218.695625137044,0.0124094,0.0046593,0.0119225,0,NaN,NaN,502,500,2.12259191562196,0.0533733262349632,0.931188051220101,NaN,NaN,0
一般,BIT*,1,20261904,1,210.996465842381,0.1160721,0.0163969,0.1155924,0,NaN,NaN,264,500,2.60001773411469,0.24470114131498,0.965166654183935,NaN,NaN,0
一般,RRT#,1,20261904,1,210.628465496182,0.0192905,0.0052715,0.0187306,0,NaN,NaN,382,500,2.61030322540442,1,0.9668529488737,NaN,NaN,0
一般,APF-only,1,20261904,1,229.358752665851,0.002784,0.0025673,0.002784,NaN,NaN,NaN,NaN,52,16.5135672987644,0.40276509044968,0.887896147911194,1,5,0
一般,AB-IRRT*,1,20261904,1,211.23340568324,0.0178457,0.0018474,0.0146358,0,0.0018474,0.0147963,364,500,2.8028949812561,0.695233670997874,0.96408402981065,1,5,0
一般,RRT*,2,20261905,1,217.207905834209,0.0146376,0.0063953,0.0145563,0,NaN,NaN,385,500,5.36144193978705,0.832378857119648,0.937566025507221,NaN,NaN,0
一般,Informed-RRT*,2,20261905,1,214.322972532427,0.0147309,0.0065616,0.0146121,0,NaN,NaN,374,500,7.8071785085759,0.255729755279646,0.950186303294735,NaN,NaN,0
一般,PRM*,2,20261905,1,214.476477879895,0.0525614,0.0003992,0.052476,0,NaN,NaN,502,500,3.64901052852029,0.127189733729875,0.949506234878429,NaN,NaN,0
一般,FMT*,2,20261905,1,222.416870281158,0.0430715,0.010875,0.0429564,0,NaN,NaN,502,500,3.56498381618967,0.40085824888142,0.915608392134533,NaN,NaN,0
一般,BIT*,2,20261905,0,Inf,0.1960661,NaN,0.1950936,0,NaN,NaN,414,500,NaN,NaN,NaN,NaN,NaN,0
一般,RRT#,2,20261905,1,215.852561240275,0.0138703,0.0059656,0.0137268,0,NaN,NaN,385,500,5.02729887613049,0.833355446662367,0.943453030214628,NaN,NaN,0
一般,APF-only,2,20261905,1,229.358752665851,0.0028264,0.0026746,0.0028264,NaN,NaN,NaN,NaN,52,16.5135672987644,0.40276509044968,0.887896147911194,1,5,0
一般,AB-IRRT*,2,20261905,1,210.356733771849,0.0158865,0.0020452,0.0135955,0,0.0020452,0.0137452,362,500,2.25001675826624,0.383209061481374,0.968101896859642,1,5,0
一般,RRT*,3,20261906,1,221.119287971886,0.0164186,0.0066649,0.0163075,0,NaN,NaN,376,500,5.8088650160217,0.042731515177298,0.920981407138117,NaN,NaN,0
一般,Informed-RRT*,3,20261906,1,219.013840165034,0.0155212,0.0075371,0.0153685,0,NaN,NaN,335,500,4.0914503037286,0.0408230801168639,0.92983508635012,NaN,NaN,0
一般,PRM*,3,20261906,1,216.617604191455,0.0694633,0.0006154,0.0693266,0,NaN,NaN,502,500,2.29528030216376,1,0.940120973740136,NaN,NaN,0
一般,FMT*,3,20261906,1,213.761534766052,0.0304854,0.0206052,0.0303544,0,NaN,NaN,502,500,3.10516975239723,0.051577792587997,0.952681936928474,NaN,NaN,0
一般,BIT*,3,20261906,1,213.293256139653,0.115809,0.0929024,0.1156704,0,NaN,NaN,346,500,2.68551691600456,0.0515375315846125,0.954773520117244,NaN,NaN,0
一般,RRT#,3,20261906,1,221.093578931082,0.0254025,0.011645,0.0252468,0,NaN,NaN,376,500,5.67800050181238,0.0420359388390867,0.921088500020191,NaN,NaN,0
一般,APF-only,3,20261906,1,229.358752665851,0.0029745,0.002839,0.0029745,NaN,NaN,NaN,NaN,52,16.5135672987644,0.40276509044968,0.887896147911194,1,5,0
一般,AB-IRRT*,3,20261906,1,209.908406990929,0.0175203,0.0017355,0.0155038,0,0.0017355,0.0156815,348,500,2.94126782566837,0.0362578917287539,0.970169589208147,1,5,0
一般,RRT*,4,20261907,1,217.692359706142,0.0193757,0.0073087,0.0192548,0,NaN,NaN,373,500,6.10631898649627,1,0.935479560498238,NaN,NaN,0
一般,Informed-RRT*,4,20261907,1,216.024901524234,0.0216067,0.0042215,0.0214388,0,NaN,NaN,361,500,5.99394150849903,0.185061312255326,0.942700362526867,NaN,NaN,0
一般,PRM*,4,20261907,1,214.862808405176,0.0633825,0.0023704,0.0632747,0,NaN,NaN,502,500,2.34049503332025,1,0.947798990869094,NaN,NaN,0
一般,FMT*,4,20261907,1,217.562880104666,0.0185561,0.0098455,0.0184308,0,NaN,NaN,502,500,1.74224183108801,0.235104304202947,0.936036298488762,NaN,NaN,0
