dim,scenario,capTag,capSeconds,algorithm,run,seed,success,length,time,firstSolutionTime
2d,一般,1,0.09042529,FMT*,8,20261911,1,215.651214255891,0.0910607,0.0274112
2d,一般,1,0.09042529,BIT*,8,20261911,1,215.097386025188,0.092005,0.0347964
2d,一般,1,0.09042529,RRT#,8,20261911,1,211.678139515244,0.0923177,0.0221547
2d,一般,1,0.09042529,APF-only,8,20261911,1,229.358752665851,0.0026447,0.0025075
2d,一般,1,0.09042529,AB-IRRT*,8,20261911,1,209.607439070415,0.0909795,0.002928
2d,一般,1,0.09042529,RRT*,9,20261912,1,215.65385722861,0.0907267,0.0127475
2d,一般,1,0.09042529,Informed-RRT*,9,20261912,1,210.575301561102,0.0907576,0.009708
2d,一般,1,0.09042529,PRM*,9,20261912,1,211.667969872568,0.0921837,0.0026349
2d,一般,1,0.09042529,FMT*,9,20261912,1,213.334829584992,0.0914225,0.0085069
2d,一般,1,0.09042529,BIT*,9,20261912,1,209.705343993021,0.0920069,0.0261124
2d,一般,1,0.09042529,RRT#,9,20261912,1,209.85230622942,0.0910735,0.0103641
2d,一般,1,0.09042529,APF-only,9,20261912,1,229.358752665851,0.0020437,0.0019189
2d,一般,1,0.09042529,AB-IRRT*,9,20261912,1,210.016206698077,0.0908861,0.0016904
2d,一般,1,0.09042529,RRT*,10,20261913,1,210.956687452611,0.0907062,0.0055624
2d,一般,1,0.09042529,Informed-RRT*,10,20261913,1,212.183777029256,0.0908439,0.0049992
2d,一般,1,0.09042529,PRM*,10,20261913,1,212.821230250922,0.0926763,0.0013685
2d,一般,1,0.09042529,FMT*,10,20261913,1,217.675079503295,0.0911629,0.014361
2d,一般,1,0.09042529,BIT*,10,20261913,1,212.303133031602,0.0934834,0.0265164
2d,一般,1,0.09042529,RRT#,10,20261913,1,209.339337864214,0.0909313,0.0050355
2d,一般,1,0.09042529,APF-only,10,20261913,1,229.358752665851,0.0020016,0.0018798
2d,一般,1,0.09042529,AB-IRRT*,10,20261913,1,209.943031871396,0.0910101,0.0020832
2d,一般,1,0.09042529,RRT*,11,20261914,1,211.600943325051,0.0909064,0.0099676
2d,一般,1,0.09042529,Informed-RRT*,11,20261914,1,210.16402623124,0.0907491,0.0101314
2d,一般,1,0.09042529,PRM*,11,20261914,1,211.666457630687,0.0921471,0.0012631
2d,一般,1,0.09042529,FMT*,11,20261914,1,215.860043291877,0.0909723,0.0079963
2d,一般,1,0.09042529,BIT*,11,20261914,1,212.729948852121,0.0917056,0.0303496
2d,一般,1,0.09042529,RRT#,11,20261914,1,211.236170121284,0.0909162,0.0125389
2d,一般,1,0.09042529,APF-only,11,20261914,1,229.358752665851,0.0017719,0.0016685
2d,一般,1,0.09042529,AB-IRRT*,11,20261914,1,210.839697490346,0.0909787,0.0016426
2d,一般,1,0.09042529,RRT*,12,20261915,1,211.378035973342,0.0909712,0.0077799
2d,一般,1,0.09042529,Informed-RRT*,12,20261915,1,210.1662462667,0.0908403,0.0059391
2d,一般,1,0.09042529,PRM*,12,20261915,1,214.825363324309,0.0923756,0.0004732
2d,一般,1,0.09042529,FMT*,12,20261915,1,249.498383733612,0.0909797,0.0097825
2d,一般,1,0.09042529,BIT*,12,20261915,1,212.241176263777,0.0912536,0.0284529
2d,一般,1,0.09042529,RRT#,12,20261915,1,210.800830781662,0.0910213,0.0073619
2d,一般,1,0.09042529,APF-only,12,20261915,1,229.358752665851,0.0020463,0.0019157
2d,一般,1,0.09042529,AB-IRRT*,12,20261915,1,209.942072649516,0.0908654,0.0017656
2d,一般,1,0.09042529,RRT*,13,20261916,1,211.442404642286,0.0907066,0.0081772
2d,一般,1,0.09042529,Informed-RRT*,13,20261916,1,211.81918514016,0.0910213,0.0080295
2d,一般,1,0.09042529,PRM*,13,20261916,1,214.741268704075,0.0925262,0.0134587
2d,一般,1,0.09042529,FMT*,13,20261916,1,221.281420222694,0.0909469,0.0161784
2d,一般,1,0.09042529,BIT*,13,20261916,1,214.465654706491,0.0913315,0.0345455
2d,一般,1,0.09042529,RRT#,13,20261916,1,210.545422013706,0.0908826,0.0103468
2d,一般,1,0.09042529,APF-only,13,20261916,1,229.358752665851,0.0018276,0.0017168
2d,一般,1,0.09042529,AB-IRRT*,13,20261916,1,209.174701766917,0.0910525,0.0015985
2d,一般,1,0.09042529,RRT*,14,20261917,1,218.194164504721,0.0907845,0.0114507
2d,一般,1,0.09042529,Informed-RRT*,14,20261917,1,211.093524498766,0.0907885,0.0075127
2d,一般,1,0.09042529,PRM*,14,20261917,1,211.424999327867,0.0937114,0.0009281
2d,一般,1,0.09042529,FMT*,14,20261917,1,221.376155619694,0.0909159,0.0089002
2d,一般,1,0.09042529,BIT*,14,20261917,1,213.145279869337,0.0919929,0.0749968
2d,一般,1,0.09042529,RRT#,14,20261917,1,225.832757731198,0.0908858,0.0126822
2d,一般,1,0.09042529,APF-only,14,20261917,1,229.358752665851,0.0015259,0.0014347
2d,一般,1,0.09042529,AB-IRRT*,14,20261917,1,208.945257535474,0.0910685,0.0017964
2d,一般,1,0.09042529,RRT*,15,20261918,1,215.112259507527,0.0908434,0.0073161
2d,一般,1,0.09042529,Informed-RRT*,15,20261918,1,209.276684989732,0.0908084,0.0072714
2d,一般,1,0.09042529,PRM*,15,20261918,1,210.87291156998,0.0923446,0.001619
2d,一般,1,0.09042529,FMT*,15,20261918,1,220.352987848601,0.0909983,0.0217573
2d,一般,1,0.09042529,BIT*,15,20261918,1,220.717756815881,0.0913547,0.0324508
2d,一般,1,0.09042529,RRT#,15,20261918,1,214.442405247501,0.0911331,0.0094136
2d,一般,1,0.09042529,APF-only,15,20261918,1,229.358752665851,0.0019069,0.0017874
2d,一般,1,0.09042529,AB-IRRT*,15,20261918,1,209.3623757038,0.090884,0.0017022
2d,一般,1,0.09042529,RRT*,16,20261919,1,210.991310132528,0.0907349,0.0112259
2d,一般,1,0.09042529,Informed-RRT*,16,20261919,1,210.51588694471,0.090815,0.0107272
2d,一般,1,0.09042529,PRM*,16,20261919,1,214.770713742989,0.0921619,0.0118174
2d,一般,1,0.09042529,FMT*,16,20261919,1,212.238877512866,0.0913739,0.0090905
2d,一般,1,0.09042529,BIT*,16,20261919,1,209.939649321049,0.0912163,0.0284876
2d,一般,1,0.09042529,RRT#,16,20261919,1,210.859736884789,0.0908549,0.0138788
2d,一般,1,0.09042529,APF-only,16,20261919,1,229.358752665851,0.0016043,0.0015037
